# Base de Datos de Canciones - MusicApp
# Formato: ID|Título|Artista|Género|Año|Duración|URL_YouTube
# La duración está en formato decimal: 3.45 = 3 minutos 45 segundos

C0047|Hound Dog|Elvis Presley|Rock|1956|2,16|https://www.youtube.com/watch?v=MMmfjV9hFPY
C0048|Let It Be|The Beatles|Rock|1970|3,50|https://www.youtube.com/watch?v=QDYfEBY9NM4
C0045|Born to Run|Bruce Springsteen|Rock|1975|4,30|https://www.youtube.com/watch?v=f3t9SfrfDZM
C0089|Scar Tissue|Red Hot Chili Peppers|Rock|1999|3,37|https://www.youtube.com/watch?v=mzJj5-lubeM
C0046|Thunder Road|Bruce Springsteen|Rock|1975|4,49|https://www.youtube.com/watch?v=YU3S_CKEzmo
C0043|The Times They Are A-Changin'|Bob Dylan|Folk|1964|3,13|https://www.youtube.com/watch?v=e7qQ6_RV4VQ
C0087|Under the Bridge|Red Hot Chili Peppers|Rock|1991|4,24|https://www.youtube.com/watch?v=GLvohMXgcBo
C0044|Whiter Shade of Pale|Procol Harum|Rock|1967|4,03|https://www.youtube.com/watch?v=Mb3iPP-tHdA
C0088|Californication|Red Hot Chili Peppers|Rock|1999|5,21|https://www.youtube.com/watch?v=YlUKcNNmywk
C0041|Be My Baby|The Ronettes|Pop|1963|2,38|https://www.youtube.com/watch?v=jSPpbOGnFgk
C0085|Even Flow|Pearl Jam|Rock|1991|4,53|https://www.youtube.com/watch?v=tkbgtVFlyCQ
C0042|In the Still of the Night|The Five Satins|Doo-wop|1956|3,01|https://www.youtube.com/watch?v=oNB-3QXBgt0
C0086|Yellow Ledbetter|Pearl Jam|Rock|1992|4,59|https://www.youtube.com/watch?v=hs8y3kneqrs
C0049|Whole Lotta Love|Led Zeppelin|Rock|1969|5,34|https://www.youtube.com/watch?v=HQmmM_qwG4k
C0050|Heartbreak Hotel|Elvis Presley|Rock|1956|2,08|https://www.youtube.com/watch?v=6fQyvByGUFY
C0094|All Apologies|Nirvana|Rock|1993|3,51|https://www.youtube.com/watch?v=aWmkuH1k7uA
C0051|Free Bird|Lynyrd Skynyrd|Rock|1973|9,08|https://www.youtube.com/watch?v=D0W1v0kOELA
C0095|The Man Who Sold the World|Nirvana|Rock|1993|4,19|https://www.youtube.com/watch?v=fregObNcHC8
C0092|Come As You Are|Nirvana|Rock|1991|3,39|https://www.youtube.com/watch?v=vabnZ9-ex7o
